iter	RMSE
219	12.1183543
220	12.09293283
221	12.0679419
222	12.04297912
223	12.02454829
224	12.00604879
225	11.98822841
226	11.96208674
227	11.94015097
228	11.91863281
229	11.90093067
230	11.88443702
231	11.86495817
232	11.84508033
233	11.82488792
234	11.80959476
235	11.78732742
236	11.77081718
237	11.74767949
238	11.73107594
239	11.71124531
240	11.68952533
241	11.66682833
242	11.64443416
243	11.62241788
244	11.60420123
245	11.58350993
246	11.56898985
247	11.54835243
248	11.5283846
249	11.50958014
250	11.49280889
251	11.4730945
252	11.45358453
253	11.436811
254	11.41941338
255	11.40388432
256	11.38962452
257	11.37446574
258	11.35346248
259	11.33983414
260	11.32099613
261	11.30580542
262	11.29091019
263	11.27285387
264	11.25443461
265	11.23687383
266	11.22510667
267	11.21381556
268	11.19665824
269	11.18248835
270	11.16559094
271	11.14561183
272	11.12675712
273	11.11025438
274	11.09197472
275	11.07573874
276	11.06049276
277	11.04573439
278	11.0309285
279	11.01031966
280	10.99435679
281	10.97880663
282	10.96196503
283	10.94556959
284	10.93025817
285	10.91399335
286	10.89832186
287	10.88320526
288	10.86834178
289	10.85372662
290	10.83815683
291	10.819107
292	10.79732622
293	10.78434965
294	10.77032177
295	10.75227606
296	10.73856559
297	10.72508582
298	10.71282675
299	10.69956198
300	10.68539798
301	10.67411267
302	10.66115236
303	10.64434649
304	10.62471409
305	10.61362218
306	10.60274106
307	10.58755645
308	10.57618783
309	10.56304992
310	10.55075355
311	10.53866157
312	10.52837279
313	10.51562055
314	10.50390053
315	10.49350103
316	10.48188836
317	10.47057485
318	10.46094396
319	10.45160409
320	10.43956695
321	10.42739944
322	10.41708472
323	10.40767302
324	10.39352935
325	10.37967938
326	10.37045865
327	10.35821035
328	10.3444816
329	10.33692754
330	10.32685478
331	10.31630716
332	10.30792767
333	10.29469307
334	10.2861412
335	10.27486242
336	10.26208188
337	10.25375701
338	10.24416891
339	10.23395999
340	10.22182757
341	10.20871521
342	10.19882651
343	10.18899123
344	10.1800207
345	10.17060719
346	10.16087824
347	10.15216108
348	10.14486397
349	10.13745498
350	10.13029439
351	10.11260713
352	10.09769397
353	10.09031692
354	10.0836182
355	10.07626612
356	10.06990868
357	10.06159676
358	10.05479656
359	10.04800337
360	10.03577645
361	10.0293516
362	10.01744801
363	10.01084406
364	10.0046714
365	9.993550918
366	9.987084138
367	9.972973648
368	9.967292577
369	9.955759616
370	9.950478297
371	9.941191652
372	9.936002253
373	9.928201818
374	9.922837064
375	9.915647406
376	9.906838133
377	9.898291673
378	9.892494012
379	9.88663469
380	9.877060465
381	9.866942668
382	9.858591881
383	9.850713111
384	9.837727529
385	9.83019457
386	9.824524033
387	9.814652552
388	9.807839978
389	9.801332375
390	9.792040442
391	9.785584697
392	9.778785971
393	9.769172997
394	9.761745647
395	9.74939576
396	9.74319214
397	9.737336868
398	9.732611105
399	9.727215993
400	9.719047542
401	9.713850666
402	9.708526532
403	9.703296179
404	9.698413228
405	9.693626757
406	9.685022441
407	9.679241891
408	9.668771111
409	9.663027193
410	9.657351269
411	9.648420634
412	9.642622365
413	9.637508075
414	9.632841977
415	9.627146188
416	9.622545341
417	9.614303011
418	9.609783576
419	9.60456981
420	9.597493113
421	9.590024223
422	9.581708064
423	9.577932174
424	9.568744808
425	9.564377057
426	9.558237032
427	9.55155543
428	9.544255469
429	9.540023488
430	9.531662972
431	9.523649198
432	9.518561475
433	9.514444198
434	9.510372962
435	9.506360295
436	9.499821735
437	9.492369157
438	9.487322989
439	9.483657185
440	9.47455646
441	9.466895241
442	9.463323533
443	9.459297488
444	9.455327412
445	9.451468786
446	9.443972525
447	9.439602962
448	9.434466523
449	9.426286287
450	9.42155874
451	9.41291323
452	9.408249831
453	9.404479793
454	9.40077473
455	9.394678931
456	9.387591695
457	9.382363697
458	9.378792007
459	9.375217405
460	9.371943343
461	9.368706056
462	9.364268203
463	9.361170441
464	9.357823907
465	9.353824033
466	9.350669944
467	9.347422272
468	9.340528147
469	9.333264401
470	9.330225858
471	9.321484695
472	9.314896282
473	9.311065309
474	9.308190929
475	9.305034215
476	9.301938025
477	9.297510011
478	9.289756043
479	9.281883509
480	9.277755084
481	9.274761447
482	9.270690013
483	9.262557379
484	9.2562084
485	9.253068052
486	9.250323159
487	9.246394518
488	9.240183567
489	9.234676913
490	9.231649414
491	9.228822193
492	9.225888917
493	9.222957283
494	9.215532119
495	9.208269342
496	9.203166096
497	9.199072317
498	9.193687558
499	9.188446983
500	9.183124226
501	9.177329514
502	9.172896937
503	9.169375277
504	9.162485173
505	9.156535997
506	9.153774023
507	9.149985845
508	9.147189846
509	9.1428314
510	9.137942555
511	9.135266554
512	9.131589353
513	9.128972954
514	9.126447146
515	9.123335963
516	9.118088717
517	9.11225306
518	9.107181991
519	9.102211849
520	9.09558223
521	9.092930236
522	9.090605123
523	9.087192715
524	9.084194793
525	9.079693281
526	9.074916209
527	9.071249232
528	9.066340168
529	9.063315337
530	9.059573736
531	9.056689163
532	9.052664647
533	9.047854564
534	9.043987364
535	9.039149951
536	9.0360731
537	9.032508984
538	9.029290328
539	9.026983819
540	9.022921889
541	9.019206198
542	9.016331914
543	9.011639518
544	9.009140596
545	9.005667418
546	9.001379493
547	8.996808354
548	8.994242427
549	8.991154454
550	8.987119244
551	8.984605525
552	8.981128292
553	8.976860137
554	8.973622823
555	8.97101072
556	8.966152523
557	8.962398002
558	8.95886357
559	8.955483662
560	8.953371631
561	8.949420747
562	8.94575762
563	8.943769612
564	8.941817481
565	8.936410955
566	8.933317856
567	8.931399331
568	8.927976366
569	8.924901815
570	8.920701305
571	8.917742165
572	8.915554059
573	8.911950429
574	8.909069173
575	8.905987804
576	8.903517532
577	8.900519326
578	8.89825128
579	8.894041928
580	8.890685923
581	8.887964302
582	8.884809156
583	8.883093375
584	8.879281881
585	8.87678589
586	8.873973175
587	8.872304204
588	8.868744907
589	8.866964007
590	8.864005739
591	8.859786327
592	8.857723446
593	8.854167384
594	8.852153716
595	8.8494658
596	8.846671402
597	8.844641613
598	8.842173768
599	8.840662612
600	8.837750726
601	8.834357674
602	8.83187828
603	8.829236203
604	8.826592681
605	8.823741347
606	8.820990932
607	8.8180526
608	8.81514971
609	8.811899752
610	8.809534807
611	8.806162193
612	8.803092708
613	8.800750026
614	8.796449559
615	8.793858072
616	8.791623008
617	8.789850053
618	8.787994984
619	8.785480038
620	8.782010884
621	8.778793701
622	8.777390217
623	8.775450405
624	8.772490104
625	8.770403822
626	8.766646039
627	8.762930029
628	8.759865714
629	8.758299763
630	8.755810228
631	8.75335357
632	8.751209711
633	8.749004927
634	8.746104062
635	8.744621455
636	8.743350857
637	8.741761154
638	8.739627116
639	8.737506147
640	8.734837968
641	8.732032023
642	8.728443648
643	8.723954624
644	8.719646682
645	8.717871727
646	8.715447264
647	8.714233705
648	8.711282738
649	8.709080409
650	8.706155219
651	8.704483684
652	8.703301992
653	8.701136235
654	8.698595575
655	8.696249317
656	8.694747318
657	8.693106366
658	8.69122256
659	8.68964689
660	8.688023733
661	8.686888272
662	8.684553133
663	8.682290933
664	8.678929445
665	8.676677524
666	8.673581648
667	8.671377242
668	8.668816848
669	8.664528565
670	8.662478011
671	8.660935947
672	8.659399546
673	8.656429417
674	8.654606196
675	8.653520956
676	8.651950114
677	8.650489243
678	8.649037787
679	8.646236443
680	8.643626032
681	8.641515704
682	8.63992784
683	8.638484547
684	8.635537425
685	8.634219523
686	8.632820646
687	8.631536246
688	8.630374661
689	8.62859882
690	8.62631122
691	8.624879124
692	8.622698176
693	8.620974529
694	8.618718065
695	8.617748267
696	8.616011258
697	8.615209856
698	8.613622023
699	8.611604575
700	8.610306796
701	8.607674986
702	8.605789417
703	8.604691408
704	8.603410045
705	8.601512779
706	8.599022586
707	8.596842594
708	8.595660061
709	8.592511225
710	8.589497824
711	8.5874452
712	8.585963829
713	8.583925787
714	8.582181921
715	8.580670486
716	8.578595667
717	8.576513296
718	8.574058622
719	8.57291761
720	8.571829697
721	8.569724207
722	8.567122342
723	8.564734737
724	8.563133351
725	8.561162192
726	8.559929343
727	8.557681209
728	8.55647099
729	8.554287862
730	8.551944996
731	8.550324133
732	8.548546645
733	8.545724306
734	8.543405325
735	8.541727549
736	8.540186861
737	8.538644917
738	8.536854588
739	8.535803527
740	8.534216291
741	8.532288145
742	8.530463468
743	8.528644859
744	8.526558866
745	8.525071835
746	8.524069818
747	8.522321314
748	8.520713897
749	8.518696282
750	8.517708223
751	8.51565227
752	8.513603853
753	8.51110295
754	8.509712807
755	8.507742641
756	8.50592048
757	8.504875123
758	8.503508853
759	8.501557521
760	8.500230261
761	8.498333741
762	8.497232768
763	8.495831014
764	8.493969526
765	8.49184809
766	8.489952033
767	8.489045071
768	8.486963929
769	8.485894141
770	8.484421417
771	8.482315764
772	8.480378054
773	8.478584604
774	8.47686998
775	8.475492725
776	8.473712555
777	8.472570092
778	8.470933916
779	8.469492273
780	8.467858752
781	8.466960045
782	8.465366152
783	8.463622352
784	8.462546984
785	8.461518137
786	8.46033147
787	8.458608601
788	8.457407611
789	8.456398733
790	8.454901379
791	8.453757911
792	8.452392034
793	8.450675993
794	8.449056948
795	8.446528966
796	8.444830073
797	8.443535939
798	8.442280904
799	8.44101978
800	8.439376465
801	8.436382438
802	8.434949867
803	8.433328323
804	8.432347253
805	8.431209697
806	8.430301047
807	8.428436489
808	8.427356687
809	8.425521706
810	8.423148723
811	8.421583294
812	8.420716254
813	8.418581213
814	8.41600512
815	8.415138335
816	8.41360822
817	8.412737467
818	8.411826743
819	8.410818819
820	8.409572326
821	8.408043157
822	8.406854021
823	8.404614933
824	8.403863027
825	8.402407554
826	8.400221678
827	8.39864573
828	8.396772846
829	8.395659097
830	8.393540859
831	8.392134714
832	8.390663609
833	8.389831566
834	8.388177892
835	8.386960687
836	8.386046563
837	8.384716356
838	8.383165857
839	8.382035829
840	8.381324768
841	8.380610941
842	8.37867855
843	8.377352644
844	8.376072041
845	8.375336183
846	8.374395042
847	8.372968239
848	8.369744411
849	8.368751429
850	8.366727471
851	8.365198421
852	8.364212473
853	8.362649871
854	8.361607919
855	8.360471454
856	8.35969694
857	8.358614533
858	8.357648948
859	8.355012124
860	8.352711191
861	8.351743832
862	8.349800744
863	8.348709924
864	8.346880708
865	8.344986918
866	8.343702903
867	8.342300609
868	8.341032677
869	8.339646585
870	8.338725604
871	8.338057491
872	8.337205437
873	8.336472892
874	8.334627102
875	8.333409219
876	8.332239773
877	8.331098918
878	8.330288922
879	8.329413206
880	8.328702769
881	8.327989864
882	8.326654283
883	8.325429012
884	8.323671989
885	8.322712176
886	8.319924544
887	8.319252104
888	8.317567193
889	8.315817966
890	8.314721197
891	8.313651015
892	8.31264494
893	8.311451201
894	8.310232225
895	8.308665423
896	8.307474648
897	8.306836259
898	8.306287432
899	8.305392534
900	8.304542306
901	8.303059741
902	8.302395976
903	8.301376763
904	8.299717286
905	8.298144741
906	8.296910128
907	8.296141275
908	8.294209694
909	8.293216644
910	8.291980656
911	8.290847993
912	8.29000375
913	8.288845972
914	8.288174002
915	8.287228478
916	8.285717774
917	8.284855331
918	8.284209909
919	8.283424137
920	8.282283437
921	8.281294269
922	8.27982408
923	8.27811515
924	8.276952636
925	8.276325228
926	8.275214373
927	8.274315648
928	8.273573858
929	8.272902049
930	8.271778354
931	8.271058076
932	8.270467634
933	8.269203535
934	8.2683638
935	8.267066251
936	8.265648582
937	8.264573907
938	8.264003121
939	8.261552662
940	8.260888512
941	8.260028531
942	8.257659971
943	8.256866046
944	8.25567616
945	8.254841069
946	8.253189773
947	8.252253454
948	8.25071278
949	8.250248767
950	8.249022407
951	8.248014473
952	8.246845839
953	8.24554996
954	8.244480744
955	8.243147069
956	8.242586188
957	8.241932305
958	8.240532435
959	8.239166431
960	8.237851328
961	8.237030849
962	8.236333361
963	8.233675847
964	8.233202977
965	8.23222823
966	8.231148019
967	8.229779559
968	8.229128508
969	8.22696913
970	8.226057971
971	8.225299402
972	8.224422373
973	8.223884736
974	8.22311455
975	8.222680108
976	8.221720043
977	8.21962615
978	8.219095051
979	8.21818871
980	8.216209246
981	8.215277012
982	8.214368159
983	8.213835184
984	8.212927742
985	8.21158253
986	8.210679519
987	8.209600455
988	8.208749306
989	8.208248837
990	8.207188042
991	8.206621376
992	8.206101454
993	8.205356111
994	8.204301056
995	8.203456188
996	8.202623205
997	8.201790268
998	8.201008411
999	8.200347592
